modelo,falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
mlp,oscilacao,100,45,45,302,38,264,5,0.956,0.9606060606060607,0.7435897435897436,0.9666666666666667,0.8405797101449275,0.9545454545411157,210,10,1,29
mlp,oscilacao,100,50,50,272,37,235,5,0.9555555555555556,0.9451090781140041,0.7714285714285715,0.9310344827586207,0.84375,0.959183673464494,188,8,2,27
mlp,oscilacao,100,55,55,247,31,216,5,0.9512195121951219,0.9033333333333333,0.7777777777777778,0.84,0.8076923076923077,0.9666666666612963,174,6,4,21
mlp,oscilacao,100,60,60,227,26,201,5,0.9675675675675676,0.9586239695624603,0.782608695652174,0.9473684210526315,0.8571428571428571,0.9698795180664466,161,5,1,18
mlp,oscilacao,100,65,65,209,24,185,5,0.9705882352941176,0.9836601307189543,0.7727272727272727,1.0,0.8717948717948718,0.9673202614315862,148,5,0,17
mlp,oscilacao,100,70,70,195,23,172,5,0.9625,0.9546165884194053,0.7727272727272727,0.9444444444444444,0.85,0.964788732387572,137,5,1,17
mlp,oscilacao,100,75,75,182,25,157,5,0.9666666666666667,0.9359180393732422,0.85,0.8947368421052632,0.8717948717948718,0.9770992366337626,128,3,2,17
mlp,oscilacao,100,80,80,170,15,155,5,0.9714285714285714,0.9844961240310077,0.7333333333333333,1.0,0.8461538461538461,0.968992248054504,125,4,0,11
mlp,oscilacao,100,85,85,160,18,142,5,0.9692307692307692,0.982905982905983,0.7647058823529411,1.0,0.8666666666666667,0.965811965803711,113,4,0,13
mlp,oscilacao,100,90,90,151,17,134,5,0.976,0.9864864864864865,0.8235294117647058,1.0,0.9032258064516129,0.9729729729642074,108,3,0,14
mlp,oscilacao,100,95,95,143,18,125,5,0.9739130434782609,0.951734539969834,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9803921568531334,100,2,1,12
mlp,oscilacao,100,100,100,136,13,123,5,0.9727272727272728,0.9851485148514851,0.75,1.0,0.8571428571428571,0.9702970296933634,98,3,0,9
mlp,queda,20,5,5,2733,72,2661,5,0.996043956043956,0.9362818967249347,0.9821428571428571,0.873015873015873,0.9243697478991597,0.9995479204335446,2211,1,8,55
mlp,queda,20,10,10,1367,37,1330,5,0.9929515418502203,0.890171690843155,0.9615384615384616,0.78125,0.8620689655172413,0.9990933816854043,1102,1,7,25
mlp,queda,20,15,15,911,24,887,5,0.9947019867549669,0.9047619047619048,1.0,0.8095238095238095,0.8947368421052632,0.9999999999986376,734,0,4,17
mlp,queda,20,20,20,684,18,666,5,0.9929824561403509,0.8666666666666667,1.0,0.7333333333333333,0.8461538461538461,0.9999999999981982,555,0,4,11
mlp,queda,30,5,5,2731,94,2637,5,0.996043956043956,0.9457831325301205,1.0,0.891566265060241,0.9426751592356688,0.9999999999995438,2192,0,9,74
mlp,queda,30,10,10,1366,48,1318,5,0.9920704845814978,0.8928571428571428,1.0,0.7857142857142857,0.88,0.9999999999990851,1093,0,9,33
mlp,queda,30,15,15,911,32,879,5,0.990728476821192,0.875,1.0,0.75,0.8571428571428571,0.9999999999986245,727,0,7,21
mlp,queda,30,20,20,683,24,659,5,0.9876106194690265,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9999999999981618,544,0,7,14
